File_Name,Amplitude,ZCR,RMSE,SC,SB,Real,MFCC1,MFCC2,MFCC3,MFCC4,MFCC5,MFCC6,MFCC7,MFCC8,MFCC9,MFCC10,MFCC11,MFCC12,MFCC13,type
/content/drive/MyDrive/training/fake/file8817.mp3,0.5818254,0.0741657582364341,0.069131665,1460.1934001759987,1266.2545653745535,0,-358.50616,87.608055,-29.780224,31.728334,-21.308332,3.2022858,-8.422161,-1.2872953,-11.246232,-7.6754866,-3.954796,-8.051794,-2.1043162,AI
/content/drive/MyDrive/training/fake/file8781.mp3,0.5077423,0.1494526110197368,0.06468767,2494.034046600791,2123.5788318241443,0,-262.0393,96.50147,11.322632,21.156092,-0.07760224,8.24323,-21.282827,0.84874606,-2.6770961,-4.4813223,-13.358309,-1.4755514,-11.177357,AI
/content/drive/MyDrive/training/fake/file878.mp3,0.50520355,0.0630498662725225,0.05252339,1200.3174159151738,1163.5426296976289,0,-411.805,93.01269,-9.946503,38.53593,-4.5383897,-6.0408278,3.5686607,0.2710016,-9.66876,-0.2260464,-3.6779344,-4.277457,-3.0384855,AI
/content/drive/MyDrive/training/fake/file8846.mp3,0.508133,0.0844371828258547,0.091705404,1411.6789818887596,1176.1356022104867,0,-314.68024,131.68689,-9.615742,20.326029,-3.2746701,3.378773,-11.475774,-2.636361,-7.9481926,-6.03354,-7.1879215,2.895848,-7.033752,AI
/content/drive/MyDrive/training/fake/file874.mp3,0.8238515,0.0591441761363636,0.11061905,961.4727412300635,826.1950351155692,0,-331.99915,126.69847,-1.710027,30.489866,-5.8972178,-16.951845,9.498406,-15.397757,-11.470468,-1.5105696,-15.892404,-8.756414,-3.4446542,AI
/content/drive/MyDrive/training/fake/file8764.mp3,0.41937262,0.0835180884009009,0.032724127,1343.9731691126856,1253.1837927890997,0,-446.2451,94.56667,-7.2664146,34.471966,3.1413631,23.851118,-4.4821343,0.2207221,-1.5546507,1.8644224,-3.4998636,-3.438649,4.7442126,AI
/content/drive/MyDrive/training/fake/file8836.mp3,0.8358626,0.13818359375,0.080996305,1918.2502943515008,1411.0583721923936,0,-345.31772,73.71237,-9.156156,43.318157,-3.1087248,17.31149,-17.372288,3.7120323,-9.267493,-8.428337,3.8449194,-5.3819876,2.5715086,AI
/content/drive/MyDrive/training/fake/file8798.mp3,0.44479293,0.0930585652372262,0.038538467,1382.4191800055648,1247.4832421741312,0,-417.69812,103.85554,-18.116407,44.757133,3.7844977,21.811281,-7.2635846,3.8974025,-3.3999758,0.75228226,-3.468832,-4.247421,5.758148,AI
/content/drive/MyDrive/training/fake/file8794.mp3,0.36757833,0.0641500538793103,0.06498682,1468.6247564561102,1735.5761200025945,0,-299.086,133.46584,-0.08584555,42.77067,20.535814,-5.4445925,13.376212,8.0003,-9.272577,9.187213,-12.500178,3.816382,-2.4996321,AI
/content/drive/MyDrive/training/fake/file8758.mp3,0.6832117,0.1037118293378995,0.09542471,1665.7945976088258,1419.6673859242694,0,-285.88446,103.17686,-23.606958,53.643364,-26.256493,13.148231,-15.414531,-8.732804,-17.617416,-9.652551,-10.282404,-9.680256,1.0630395,AI
/content/drive/MyDrive/training/fake/file8737.mp3,0.5768722,0.0497195742545871,0.051079568,1040.071444598512,1057.4116085671783,0,-429.4159,93.104225,-6.6019955,31.072691,1.0440844,-5.1472864,2.4185681,-2.208119,-5.46816,2.9528904,-2.9875588,-3.0115454,-0.8939411,AI
/content/drive/MyDrive/training/fake/file8746.mp3,0.33232445,0.0640673225308642,0.024845082,1238.1505242865444,1221.0263447037762,0,-496.85852,76.5914,-0.09487915,21.425367,8.182619,11.227518,-3.8969078,-0.22885858,-1.335623,2.2804625,-5.014705,-2.6187673,5.670401,AI
/content/drive/MyDrive/training/fake/file8866.mp3,0.7890395,0.0760475014740566,0.056437977,1337.6234298213765,1129.517541514461,0,-408.4091,93.364,-13.875328,34.31009,-13.271056,0.13448136,0.5669566,-7.9289827,-3.9389186,4.060003,-4.9994564,-6.6011677,-1.2908216,AI
/content/drive/MyDrive/training/fake/file8760.mp3,1.0048726,0.0694852466425619,0.11182509,1009.6643159335772,870.1804359412245,0,-317.6112,157.03835,-18.047535,22.192808,2.9373236,-16.521679,4.7670293,-11.367434,-14.087487,-9.015495,-11.261478,-7.7297997,-9.277571,AI
/content/drive/MyDrive/training/fake/file8947.mp3,0.30080217,0.13134765625,0.049988043,2533.437660509516,2449.0770807286167,0,-281.09116,86.821144,-12.399136,7.1513014,-18.040192,-4.589123,-17.58505,15.647869,-6.5154185,-3.3140001,-15.17041,0.62275875,-13.767884,AI
/content/drive/MyDrive/training/fake/file8991.mp3,0.74066126,0.085484375,0.07982408,1456.513201126373,1088.650743875496,0,-342.56937,92.95466,-26.528385,34.705517,-25.056154,11.30045,-8.846848,-13.518805,-12.457125,-4.6393523,-9.007295,-4.5780754,0.9451525,AI
/content/drive/MyDrive/training/fake/file8894.mp3,0.57598376,0.0594932154605263,0.11114845,1138.2077972281763,1152.998340396796,0,-297.47974,138.86508,-26.296549,22.226479,-1.7622118,-0.5494906,-10.576282,-12.642127,-6.5722427,-5.5032043,-7.7422795,2.8628347,-5.3956575,AI
/content/drive/MyDrive/training/fake/file8932.mp3,0.50796086,0.0774948250534188,0.046587057,1320.763245414923,1238.042853566406,0,-401.64893,105.08128,-12.544068,38.776875,-5.229441,13.617365,-7.185621,9.213961,-1.040789,-0.92509836,-2.6779678,-8.814079,2.2030435,AI
/content/drive/MyDrive/training/fake/file895.mp3,0.6269387,0.0804406368371212,0.0635096,1521.7634375944313,1272.067283911666,0,-355.45798,79.513535,-34.221348,24.695189,-15.691684,7.0153637,-9.305984,-2.6104245,-6.97454,-2.4560986,-1.2668589,-5.574316,-1.0772785,AI
/content/drive/MyDrive/training/fake/file8887.mp3,0.9603939,0.0678909425813008,0.11596796,1001.4256907647969,917.2575404173008,0,-311.83295,150.08578,-7.28162,16.880463,-5.385742,-7.3534274,12.648997,-18.109947,-18.011248,-5.451461,-10.453795,-7.3979874,-9.903747,AI
